Year,U.S. Field Production of Crude Oil (Thousand Barrels),Crude oil cost per litre,AVERAGE PETROL PRICE
  1987,254,15.40833333,$19.20
  1988,248,12.5675,$15.97
  1989,232,15.865,$19.64
  1990,224,19.9775,$24.53
  1991,226,16.53166667,$21.54
  1992,219,16.00166667,$20.58
  1993,208,14.90083333,$18.43
  1994,203,13.18916667,$17.20
  1995,200,14.62166667,$18.43
  1996,197,18.46166667,$22.12
  1997,196,17.2275,$20.61
  1998,190,10.84166667,$14.42
  1999,179,15.53333333,$19.35
  2000,178,26.70916667,$30.38
  2001,176,21.8925,$25.98
  2002,175,22.5025,$26.19
  2003,172,27.5475,$31.08
  2004,166,36.8575,$41.51
  2005,158,50.53083333,$56.64
  2006,155,59.64583333,$66.05
  2007,154,66.5575,$72.34
  2008,152,94.21916667,$99.67
  2009,163,56.31416667,$61.95
  2010,167,74.64416667,$79.48
  2011,173,95.6925,$94.88
  2012,199,94.6275,$94.05
  2013,228,95.99583333,$97.98
  2014,267,87.71416667,$93.17
  2015,287,44.30833333,$48.66
  2016,270,38.3725,$43.29
  2017,285,47.95166667,$50.80
  2018,333,61.5175,$65.23
  2019,375,55.57333333,$56.99
  2020,345,36.36833333,$39.68
  2021,342,65.66666667,$68.17
  2022,362,94.07666667,$94.53
